nombre,valor
CPU AINSWORTH A560-S32 / A600 (LAB3908),2569083
CONTROL PROGRESIVO WMS BLADE (LAB4654),100000
CABLE IMPRESORA GEN2 UNIV NETPLEX (LAB0131),35000
CABLE IMPRESORA GEN2 UNI RS232 (LAB0130),98563
CABLE DISPLAY PORT M - DVI H (LAB0102),56987
BASE IMPRESORA ITHACA (LAB0058),100000
BACKPLANE RULETA RM5 (LAB2685),100000
B/A MEI ADVANCE SCN8347 (LAB2542),980000
B/A JCM IVIZION (LAB0035),200000
ARCO DE SEGURIDAD (LAB9999),600000
TOUCH SCREEN IDECK AP1 22/26V (LAB1125),0
IMPRESORA PAYCHECK NEXTGEN (LAB6050),985632
TECLADO OLED ARISTOCRAT GEN7 (LAB1063),0
PCB HUB USB 7 PUERTOS WMS BLADE (LAB6054),0
PCB MAIN BOARD IGT G23 KORTEK (LAB6053),0
PCB CONTR ILUM IGT SLAMT (LAB1176),0
HARNES IGT AVP POWER SUP 44 (LAB2694),0
SPLITTER HDMI 4 PUERTOS (LAB1599),0
PCB VIDEO ARISTO WS (LAB0792),0
"MONITOR 48"" RULET ALFASTREET  (LAB5828)",856321
ESTACION DE SOLDADO ST25 (LAB3017),0
CONTROL PROGRESIVO WMS BB2 (LAB0275),956478
FUENTE 750AINSW ST TOP A560 (LAB3732),0
"MONITOR 42"" ARUZE CUBEX (LAB6077)",0
"MONITOR 32"" IGT SLANT KORTEK (LAB6082)",400000
FUENTE 600V ARISTOCRAT VERVE (LAB6092),650000
CAMARA CARTEL ALFASTREET (LAB6097),195000
"MONITOR ARISTOCRAT 20"" VIRIDIAN (LAB2895)",154000
EST DE SOLDADO CAUTN A/C KTH89 (LAB4980),356000
FUENTE 12V 5000MA (LAB1995),60230
COOLER SG MAINBOARD (LAB4941),101236
FUENTE AC 7.5 1A (EXTENSOR) (LAB1458),0
PCB VIDEO CPU SG DUALOS (LAB3926),785111
FUENTE INTERBLOCK (LAB5103),862000
FUENTE SWITCH 220V A 24V 14.5A (LAB1964),74000
FUENTE 440W IGT CRYSTAL (LAB5829),462000
CPU AVP 4.0 (LAB6032),1458716.3
SOPLADOR ASPIRADOR STANLEY (LAB4103),144000
PCB IGT BACKPLANE SLATOP (LAB3945),125000
MEMORIA SD 8GB INDUSTRIAL (LAB2353),23023
FUENTE 5/12/24V ARISTO GEN8 (LAB2931),378300
